Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,mintemp,maxtemp,avgtemp
2015-07-14,1039.5,1053.25,1030.5,1032.5,4.0,1033.5,27096.0,80574.0,68.66247379454927,88.76519916142557,78.27253668763103
2015-07-13,1044.5,1051.5,1034.75,1048.0,1.75,1045.25,531.0,666.0,69.31589958158996,90.53138075313808,79.17991631799163
2015-07-10,1037.25,1059.0,1035.0,1045.0,5.75,1043.5,673.0,1421.0,66.5439330543933,88.69665271966527,77.2092050209205
2015-07-09,1008.75,1042.25,1008.75,1037.5,31.5,1037.75,839.0,2115.0,65.76939203354297,86.55974842767296,75.52830188679245
2015-07-08,1008.25,1016.0,999.0,1006.25,4.25,1006.25,1380.0,3290.0,64.93081761006289,83.13417190775681,73.49475890985325
2015-07-07,1029.0,1034.25,1001.0,1001.5,31.75,1002.0,1819.0,4434.0,64.97274633123689,83.60587002096436,74.09433962264151
2015-07-06,1037.0,1042.5,1026.25,1035.0,11.5,1033.75,2020.0,5246.0,65.70378151260505,84.31302521008404,74.77731092436974
2015-07-02,1041.75,1055.0,1032.0,1045.25,1.25,1045.25,3991.0,7605.0,64.65828092243187,82.9664570230608,73.25157232704403
2015-07-01,1053.5,1060.25,1038.75,1044.5,12.25,1044.0,8751.0,11296.0,64.41299790356395,83.8909853249476,73.40041928721175
2015-06-30,1000.5,1059.25,993.75,1056.25,53.75,1056.25,20161.0,16785.0,64.57651991614256,84.83438155136268,73.92243186582809
2015-06-29,997.25,1014.75,995.0,1003.0,0.5,1002.5,51286.0,36256.0,63.257861635220124,85.63312368972747,74.19077568134172
2015-06-26,999.0,1024.5,997.75,999.5,1.75,1002.0,98050.0,69156.0,66.02310924369748,86.93697478991596,75.76470588235294
2015-06-25,981.0,1002.5,980.0,999.0,18.5,1000.25,89224.0,83845.0,66.25576519916143,87.69601677148847,76.36268343815513
2015-06-24,987.25,990.5,979.0,981.75,5.75,981.75,79991.0,96931.0,66.15303983228512,88.06079664570231,76.42976939203355
2015-06-23,989.5,996.0,978.0,986.5,2.0,987.5,106161.0,110895.0,66.86401673640168,88.07112970711297,77.39539748953975
2015-06-22,972.5,990.0,971.5,989.0,18.0,989.5,95871.0,129869.0,67.61715481171548,88.17782426778243,77.55857740585775
2015-06-19,976.0,981.5,966.5,969.5,6.25,971.5,100999.0,147149.0,65.21383647798743,85.75052410901468,74.98113207547169
2015-06-18,967.0,981.75,962.0,976.0,8.75,977.75,139085.0,166965.0,65.97899159663865,85.14495798319328,74.80252100840336
